word;n.total;r
ellos;12973;0.998394802216702
tanto;12859;0.998382062551755
tal;12808;0.998369322886808
gran;12757;0.998356583221861
hecho;12678;0.998343843556914
han;12171;0.998331103891968
durante;12106;0.998318364227021
sido;11991;0.998305624562074
toda;11919;0.998292884897127
tres;11823;0.99828014523218
hace;11743;0.998267405567234
decir;11546;0.998254665902287
tengo;11530;0.99824192623734
allí;11382;0.998229186572393
mejor;11338;0.998216446907446
puerta;11304;0.9982037072425
podía;11198;0.998190967577553
otros;11194;0.998178227912606
madre;11059;0.998165488247659
sino;11056;0.998152748582712
tú;11017;0.998140008917765
eran;10876;0.998127269252819
aquel;10842;0.998114529587872
nadie;10803;0.998101789922925
casi;10740;0.998089050257978
e;10705;0.998076310593031
modo;10555;0.998063570928085
fuera;10456;0.998050831263138
mujer;10430;0.998038091598191
veces;10418;0.998025351933244
oh;10297;0.998012612268297
hizo;10186;0.997999872603351
manos;10008;0.997987132938404
voz;9998;0.997974393273457
sé;9810;0.99796165360851
nosotros;9808;0.997948913943563
contra;9752;0.997936174278616
preguntó;9530;0.99792343461367
joven;9517;0.997910694948723
verdad;9400;0.997897955283776
fin;9320;0.997885215618829
nuevo;9290;0.997872475953882
tierra;9223;0.997859736288936
aún;9149;0.997846996623989
aquella;9021;0.997834256959042
gente;9010;0.997821517294095
quien;8921;0.997808777629148
estoy;8913;0.997796037964202
nuestra;8896;0.997783298299255
solo;8890;0.997770558634308
cosa;8867;0.997757818969361
lado;8848;0.997745079304414
días;8837;0.997732339639468
nuestro;8831;0.997719599974521
mañana;8767;0.997706860309574
haber;8722;0.997694120644627
lugar;8694;0.99768138097968
hombres;8561;0.997668641314733
parecía;8461;0.997655901649787
cuenta;8439;0.99764316198484
sea;8429;0.997630422319893
misma;8346;0.997617682654946
luz;8253;0.997604942989999
parece;8226;0.997592203325052
hubiera;8138;0.997579463660106
iba;8137;0.997566723995159
dios;8127;0.997553984330212
palabras;8107;0.997541244665265
ante;8077;0.997528505000319
manera;8060;0.997515765335372
estado;8010;0.997503025670425
embargo;7999;0.997490286005478
os;7913;0.997477546340531
estaban;7853;0.997464806675584
bajo;7845;0.997452067010638
punto;7802;0.997439327345691
creo;7792;0.997426587680744
primera;7674;0.997413848015797
pronto;7602;0.99740110835085
tarde;7600;0.997388368685904
medio;7584;0.997375629020957
alguna;7525;0.99736288935601
caso;7470;0.99734377985859
forma;7470;0.99734377985859
soy;7418;0.997324670361169
podría;7415;0.997311930696223
cuerpo;7336;0.997299191031276
mayor;7289;0.997286451366329
dicho;7286;0.997273711701382
estas;7273;0.997260972036436
cual;7208;0.997248232371489
dije;7191;0.997235492706542
están;7146;0.997222753041595
va;7140;0.997210013376648
tener;7121;0.997197273711701
volvió;7104;0.997184534046755
hijo;7074;0.997171794381808
otras;7040;0.997159054716861
algún;7027;0.997146315051914
dice;6990;0.997133575386967
estar;6978;0.99712083572202
estos;6969;0.997108096057074
personas;6967;0.997095356392127
incluso;6964;0.99708261672718
todavía;6949;0.997069877062233
hacía;6873;0.997057137397286
rey;6871;0.99704439773234
quién;6864;0.997031658067393
puedo;6857;0.997018918402446
unas;6856;0.997006178737499
hablar;6828;0.996993439072553
cuanto;6810;0.996980699407606
bueno;6791;0.996967959742659
agua;6778;0.996955220077712
trabajo;6645;0.996942480412765
cara;6587;0.996929740747818
visto;6584;0.996917001082872
quiero;6523;0.996904261417925
dio;6521;0.996885151920505
hora;6521;0.996885151920505
saber;6512;0.996866042423084
cualquier;6490;0.996853302758137
algunos;6479;0.996840563093191
muerte;6468;0.996827823428244
sabía;6389;0.996815083763297
además;6330;0.99680234409835
dentro;6291;0.99678323460093
esos;6291;0.99678323460093
volver;6271;0.99676412510351
mal;6253;0.996751385438563
nombre;6242;0.996738645773616
posible;6238;0.996725906108669
señora;6223;0.996713166443723
habría;6215;0.996700426778776
has;6166;0.996687687113829
poder;6150;0.996674947448882
idea;6143;0.996662207783935
ir;6141;0.996649468118988
demasiado;6052;0.996636728454042
historia;6037;0.996623988789095
muchos;6032;0.996611249124148
